gadm_id,department_name,gadm36_name,label_short,label_full,label_source,label_confidence,transformed_id,gadm40_name,gadm40_type
URY.17.4_1,Soriano,n.a112,José Enrique Rodó,"José Enrique Rodó (Soriano, Municipiality)",gadm40_exact_id,high,URY.17.4_2,José Enrique Rodó,Municipiality
URY.17.5_1,Soriano,n.a120,Palmitas,"Palmitas (Soriano, Municipiality)",gadm40_exact_id,high,URY.17.5_2,Palmitas,Municipiality
URY.17.6_1,Soriano,n.a122,Soriano unit 122,Unlabelled GADM 3.6 unit 122 in Soriano,department_unit_fallback,low,URY.17.6_2,,
URY.17.7_1,Soriano,n.a123,Soriano unit 123,Unlabelled GADM 3.6 unit 123 in Soriano,department_unit_fallback,low,URY.17.7_2,,
URY.17.8_1,Soriano,n.a125,Soriano unit 125,Unlabelled GADM 3.6 unit 125 in Soriano,department_unit_fallback,low,URY.17.8_2,,
URY.17.9_1,Soriano,n.a126,Soriano unit 126,Unlabelled GADM 3.6 unit 126 in Soriano,department_unit_fallback,low,URY.17.9_2,,
URY.17.10_1,Soriano,n.a129,Soriano unit 129,Unlabelled GADM 3.6 unit 129 in Soriano,department_unit_fallback,low,URY.17.10_2,,
URY.17.11_1,Soriano,n.a136,Soriano unit 136,Unlabelled GADM 3.6 unit 136 in Soriano,department_unit_fallback,low,URY.17.11_2,,
URY.17.12_1,Soriano,n.a90,Soriano unit 90,Unlabelled GADM 3.6 unit 90 in Soriano,department_unit_fallback,low,URY.17.12_2,,
URY.17.13_1,Soriano,n.a96,Soriano unit 96,Unlabelled GADM 3.6 unit 96 in Soriano,department_unit_fallback,low,URY.17.13_2,,
URY.17.14_1,Soriano,n.a98,Soriano unit 98,Unlabelled GADM 3.6 unit 98 in Soriano,department_unit_fallback,low,URY.17.14_2,,
URY.18.1_1,Tacuarembó,n.a20,Tacuarembó unit 20,Unlabelled GADM 3.6 unit 20 in Tacuarembó,department_unit_fallback,low,URY.18.1_2,,
URY.18.2_1,Tacuarembó,n.a24,Ansina,"Ansina (Tacuarembó, Municipiality)",gadm40_exact_id,high,URY.18.2_2,Ansina,Municipiality
URY.18.3_1,Tacuarembó,n.a29,Paso de los Toros,"Paso de los Toros (Tacuarembó, Municipiality)",gadm40_exact_id,high,URY.18.3_2,Paso de los Toros,Municipiality
URY.18.4_1,Tacuarembó,n.a30,San Gregorio de Polanco,"San Gregorio de Polanco (Tacuarembó, Municipiality)",gadm40_exact_id,high,URY.18.4_2,San Gregorio de Polanco,Municipiality
URY.18.5_1,Tacuarembó,n.a32,Tacuarembó unit 32,Unlabelled GADM 3.6 unit 32 in Tacuarembó,department_unit_fallback,low,URY.18.5_2,,
URY.18.6_1,Tacuarembó,n.a33,Tacuarembó unit 33,Unlabelled GADM 3.6 unit 33 in Tacuarembó,department_unit_fallback,low,URY.18.6_2,,
URY.18.7_1,Tacuarembó,n.a36,Tacuarembó unit 36,Unlabelled GADM 3.6 unit 36 in Tacuarembó,department_unit_fallback,low,URY.18.7_2,,
URY.18.8_1,Tacuarembó,n.a38,Tacuarembó unit 38,Unlabelled GADM 3.6 unit 38 in Tacuarembó,department_unit_fallback,low,URY.18.8_2,,
URY.18.9_1,Tacuarembó,n.a42,Tacuarembó unit 42,Unlabelled GADM 3.6 unit 42 in Tacuarembó,department_unit_fallback,low,URY.18.9_2,,
URY.18.10_1,Tacuarembó,n.a43,Tacuarembó unit 43,Unlabelled GADM 3.6 unit 43 in Tacuarembó,department_unit_fallback,low,URY.18.10_2,,
URY.18.11_1,Tacuarembó,n.a44,Tacuarembó unit 44,Unlabelled GADM 3.6 unit 44 in Tacuarembó,department_unit_fallback,low,URY.18.11_2,,
URY.18.12_1,Tacuarembó,n.a51,Tacuarembó unit 51,Unlabelled GADM 3.6 unit 51 in Tacuarembó,department_unit_fallback,low,URY.18.12_2,,
URY.18.13_1,Tacuarembó,n.a53,Tacuarembó unit 53,Unlabelled GADM 3.6 unit 53 in Tacuarembó,department_unit_fallback,low,URY.18.13_2,,
URY.18.14_1,Tacuarembó,n.a68,Tacuarembó unit 68,Unlabelled GADM 3.6 unit 68 in Tacuarembó,department_unit_fallback,low,URY.18.14_2,,
URY.19.1_1,Treinta y Tres,n.a1,Treinta y Tres unit 1,Unlabelled GADM 3.6 unit 1 in Treinta y Tres,department_unit_fallback,low,URY.19.1_2,,
URY.19.2_1,Treinta y Tres,n.a104,Cerro Chato,"Cerro Chato (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.2_2,Cerro Chato,Municipiality
URY.19.3_1,Treinta y Tres,n.a108,Enrique Martínez,"Enrique Martínez (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.3_2,Enrique Martínez,Municipiality
URY.19.4_1,Treinta y Tres,n.a78,Rincón,"Rincón (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.4_2,Rincón,Municipiality
URY.19.5_1,Treinta y Tres,n.a82,Santa Clara de Olimar,"Santa Clara de Olimar (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.5_2,Santa Clara de Olimar,Municipiality
URY.19.6_1,Treinta y Tres,n.a83,Vergara,"Vergara (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.6_2,Vergara,Municipiality
URY.19.7_1,Treinta y Tres,n.a86,Villa Sara,"Villa Sara (Treinta y Tres, Municipiality)",gadm40_exact_id,high,URY.19.7_2,Villa Sara,Municipiality
URY.19.8_1,Treinta y Tres,n.a87,Treinta y Tres unit 87,Unlabelled GADM 3.6 unit 87 in Treinta y Tres,department_unit_fallback,low,URY.19.8_2,,
URY.19.9_1,Treinta y Tres,n.a88,Treinta y Tres unit 88,Unlabelled GADM 3.6 unit 88 in Treinta y Tres,department_unit_fallback,low,URY.19.9_2,,
URY.19.10_1,Treinta y Tres,n.a91,Treinta y Tres unit 91,Unlabelled GADM 3.6 unit 91 in Treinta y Tres,department_unit_fallback,low,URY.19.10_2,,
